Date,Open,High,Low,Close,Turnover (Rs. Cr)
23-Jun-99,1215.95,1228.55,1188.65,1193.15,1460.78
24-Jun-99,1192.55,1193.1,1171.3,1181.3,1096.21
25-Jun-99,1181.6,1197,1174.2,1177,1105.81
28-Jun-99,1177.05,1194.9,1177.05,1192.2,746.51
29-Jun-99,1192.2,1198.7,1185.3,1191.3,916.26
30-Jun-99,1191.45,1193.9,1179.65,1187.7,760.84
01-Jul-99,1187.85,1197,1179.3,1183.2,939.15
02-Jul-99,1183.65,1204.15,1183.65,1197.85,1221.34
05-Jul-99,1197.95,1232.4,1197.95,1230.25,1455.57
06-Jul-99,1230.3,1246.4,1230.3,1241.25,1179.48
07-Jul-99,1241.65,1255.75,1238.15,1243.7,1607.53
08-Jul-99,1243.9,1251.15,1238.4,1244.05,1495.59
09-Jul-99,1244.4,1260.7,1244.4,1254,1714.82
12-Jul-99,1254.1,1318.05,1254.1,1315.35,1963.76
13-Jul-99,1315.75,1338.15,1315.75,1321.45,1866.99
14-Jul-99,1322.9,1341.1,1306.2,1335.15,1624.72
15-Jul-99,1335.55,1367.95,1310.45,1317.7,2008.33
16-Jul-99,1318.3,1331.75,1312.3,1324.25,1346.08
19-Jul-99,1325.35,1357.85,1325.35,1349.6,1430.62
20-Jul-99,1349.6,1350.35,1310.85,1314.7,1530.66
21-Jul-99,1314.8,1346.65,1302.8,1340.15,1407.49
22-Jul-99,1339.05,1358.25,1337.55,1349.2,1549.44
23-Jul-99,1350,1367.3,1339.6,1342.95,1289.93
26-Jul-99,1342.6,1342.6,1314.8,1326.15,1014.52
27-Jul-99,1325.4,1327,1304.4,1309.85,1246.24
28-Jul-99,1309.75,1337,1309.75,1320.1,1306.98
29-Jul-99,1320.75,1329.75,1312.55,1325.7,1479.89
30-Jul-99,1325.55,1325.55,1302.5,1310.15,1005.93
02-Aug-99,1309.85,1310.8,1282.85,1289.6,847.15
03-Aug-99,1289.2,1290.8,1277.85,1285.05,1190.1
04-Aug-99,1285.9,1329.3,1285.9,1326.4,1307.71
05-Aug-99,1326.75,1345.85,1317.5,1323.3,1113.72
06-Aug-99,1323.15,1326,1315.15,1316.8,971.51
09-Aug-99,1316.9,1332.9,1312.8,1327.75,1158.69
10-Aug-99,1328.15,1328.4,1305.85,1309.75,1136.95
11-Aug-99,1308.75,1328.2,1295.2,1315.3,1176.52
12-Aug-99,1315.9,1321.55,1308.05,1309.5,962.44
13-Aug-99,1309.7,1317.1,1290.3,1291.85,829.86
16-Aug-99,1292.35,1314.15,1292.35,1309.9,936.84
17-Aug-99,1310.3,1327.9,1310.3,1322.7,1097.96
18-Aug-99,1326,1371.9,1326,1363.35,1444.92
19-Aug-99,1363.5,1375.45,1341.55,1345,1288.14
20-Aug-99,1345.6,1350.3,1332.4,1347.3,955.67
23-Aug-99,1347.75,1375.95,1347.75,1369.7,1252.07
24-Aug-99,1370.05,1385.6,1369.9,1382.65,1331.07
25-Aug-99,1383.45,1414,1341.35,1371.65,1399.1
26-Aug-99,1371.9,1408.15,1371.9,1402.5,1280.06
27-Aug-99,1402.6,1425.2,1402.6,1417.5,1264.05
30-Aug-99,1417.8,1435.5,1417.8,1422.6,1407.53
31-Aug-99,1422.65,1424.05,1409.55,1412,1153.01
01-Sep-99,1412.05,1430.8,1397.7,1410.7,1396.77
02-Sep-99,1410,1410,1372.5,1375.85,1017.32
03-Sep-99,1375.7,1384.25,1370.95,1374.95,1015.37
06-Sep-99,1375.45,1392.05,1372.5,1390.2,962.64
07-Sep-99,1391.2,1403.75,1378.95,1383.25,1205.32
08-Sep-99,1385.55,1413.45,1385.55,1399.5,1387.43
09-Sep-99,1400.15,1402.25,1388.65,1396.9,1225.48
10-Sep-99,1397.15,1398.6,1388.85,1391.1,1071.07
14-Sep-99,1391.9,1397.45,1366.25,1370.55,1460.52
15-Sep-99,1371,1392.35,1371,1374.7,1247.14
16-Sep-99,1374.45,1375.35,1347.3,1351.2,982.12
17-Sep-99,1350.35,1364.05,1329.7,1359.7,1316.43
20-Sep-99,1359.8,1379.05,1356.3,1357.85,1131.31
21-Sep-99,1358.45,1367.75,1348.6,1350.6,1386.43
22-Sep-99,1350.7,1400,1350.7,1386.45,1590.61
23-Sep-99,1387.95,1403.55,1387.45,1398,1765.16
24-Sep-99,1397.45,1427.75,1396.75,1412.25,1738.43
27-Sep-99,1413.8,1427.15,1387.05,1389.5,1898.68
28-Sep-99,1389.25,1389.45,1363.45,1379.15,1774.81
29-Sep-99,1380.7,1429.05,1380.3,1415.3,2001.35
30-Sep-99,1415.55,1432.55,1409.55,1413.1,1898.11
01-Oct-99,1414.65,1419.1,1389.05,1403.2,1817.82
04-Oct-99,1403.45,1406.35,1367.85,1372.3,1204.15
05-Oct-99,1372.4,1384.35,1358.95,1378.15,1776.48
06-Oct-99,1377.65,1419.75,1377.15,1392.7,1820.82
07-Oct-99,1394.35,1475.45,1394.35,1469.75,2457.1
08-Oct-99,1470,1502.65,1462.75,1479.25,2332.11
11-Oct-99,1480.8,1504.55,1479.1,1484,2015.26
12-Oct-99,1484.4,1493.15,1472.35,1483.85,2185.08
13-Oct-99,1485.45,1510.5,1466,1496.3,2635.79
14-Oct-99,1497.3,1522.85,1496.65,1505.2,1882.04
15-Oct-99,1505.7,1512,1448.95,1454.55,1505.78
18-Oct-99,1454.9,1461.45,1426.15,1444.05,2014.43
20-Oct-99,1446.2,1498.7,1446.2,1477.65,2231.16
21-Oct-99,1478,1496.45,1448.35,1453.35,2018.83
22-Oct-99,1452.6,1452.6,1421.4,1430.25,1743.34
23-Oct-99,1430.75,1451.85,1429.1,1449.8,414.05
25-Oct-99,1449.85,1457.2,1410.85,1426.2,1744.55
26-Oct-99,1426.6,1431.5,1410.95,1414.35,1830.62
27-Oct-99,1419.1,1440.7,1400.75,1411.4,1732.5
28-Oct-99,1411.2,1411.45,1361.05,1367.7,1511.24
29-Oct-99,1367.9,1370.8,1296.7,1325.45,2077.62
